show_id,type,title,director,cast,country,date_added,release_year,rating,duration
s80,Movie,Title_80,Director_80,Actor_80,Spain,Sep 2011,2011,UA,176 min
s81,Movie,Title_81,Director_81,Actor_81,UK,Jun 2019,2019,TV-MA,180 min
s82,Movie,Title_82,Director_82,Actor_82,UK,Mar 2006,2006,PG-13,99 min
s83,Movie,Title_83,Director_83,Actor_83,Canada,Jun 2007,2007,TV-14,103 min
s84,Movie,Title_84,Director_84,Actor_84,Spain,Jul 2004,2004,TV-MA,170 min
s85,TV Show,Title_85,Director_85,Actor_85,UK,Sep 2007,2007,R,6 Seasons
s86,Movie,Title_86,Director_86,Actor_86,USA,Aug 2018,2018,R,146 min
s87,Movie,Title_87,Director_87,Actor_87,UK,Mar 2020,2020,PG-13,146 min
s88,Movie,Title_88,Director_88,Actor_88,USA,Apr 2009,2009,TV-14,97 min
s89,Movie,Title_89,Director_89,Actor_89,Germany,Apr 2022,2022,TV-MA,91 min
s90,TV Show,Title_90,Director_90,Actor_90,India,Mar 2009,2009,PG,5 Seasons
s91,Movie,Title_91,Director_91,Actor_91,UK,Feb 2019,2019,TV-14,135 min
s92,Movie,Title_92,Director_92,Actor_92,Germany,Oct 2006,2006,PG-13,167 min
s93,TV Show,Title_93,Director_93,Actor_93,Canada,Nov 2021,2021,UA,4 Seasons
s94,TV Show,Title_94,Director_94,Actor_94,Spain,Jun 2018,2018,R,5 Seasons
s95,TV Show,Title_95,Director_95,Actor_95,UK,Jul 2008,2008,PG-13,4 Seasons
s96,TV Show,Title_96,Director_96,Actor_96,India,Jul 2004,2004,UA,6 Seasons
s97,TV Show,Title_97,Director_97,Actor_97,Canada,Jun 2007,2007,UA,2 Seasons
s98,Movie,Title_98,Director_98,Actor_98,Germany,Feb 2001,2001,PG,141 min
s99,Movie,Title_99,Director_99,Actor_99,USA,Sep 2014,2014,UA,173 min
s100,TV Show,Title_100,Director_100,Actor_100,UK,Aug 2004,2004,PG-13,5 Seasons
